Loading channels: ...working... done
carterbox-torch-radon           2.0.4  py38hfe92a84_0  anaconda/cloud/conda-forge
carterbox-torch-radon           2.0.4  py39h18776e6_0  anaconda/cloud/conda-forge
carterbox-torch-radon           2.0.4  py39h52f9104_0  anaconda/cloud/conda-forge
carterbox-torch-radon           2.0.4  py39hf4d28cd_0  anaconda/cloud/conda-forge
diffusers-torch               0.11.0 py310h2f386ee_0  anaconda/pkgs/main  
diffusers-torch               0.11.0 py310h2f386ee_0  pkgs/main           
diffusers-torch               0.11.0  py37hb070fc8_0  anaconda/pkgs/main  
diffusers-torch               0.11.0  py37hb070fc8_0  pkgs/main           
diffusers-torch               0.11.0  py38hb070fc8_0  anaconda/pkgs/main  
diffusers-torch               0.11.0  py38hb070fc8_0  pkgs/main           
diffusers-torch               0.11.0  py39hb070fc8_0  anaconda/pkgs/main  
diffusers-torch               0.11.0  py39hb070fc8_0  pkgs/main           
diffusers-torch               0.18.2 py310h2f386ee_0  anaconda/pkgs/main  
diffusers-torch               0.18.2 py310h2f386ee_0  pkgs/main           
diffusers-torch               0.18.2 py311h92b7b1e_0  anaconda/pkgs/main  
diffusers-torch               0.18.2 py311h92b7b1e_0  pkgs/main           
diffusers-torch               0.18.2 py312he106c6f_0  anaconda/pkgs/main  
diffusers-torch               0.18.2 py312he106c6f_0  pkgs/main           
diffusers-torch               0.18.2  py38h2f386ee_0  anaconda/pkgs/main  
diffusers-torch               0.18.2  py38h2f386ee_0  pkgs/main           
diffusers-torch               0.18.2  py39h2f386ee_0  anaconda/pkgs/main  
diffusers-torch               0.18.2  py39h2f386ee_0  pkgs/main           
efficientnet-pytorch           0.6.3    pyh9f0ad1d_0  anaconda/cloud/conda-forge
efficientnet-pytorch           0.7.0    pyh9f0ad1d_0  anaconda/cloud/conda-forge
efficientnet-pytorch           0.7.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
efficientnet-pytorch           0.7.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
efficientnet-pytorch           0.7.1    pyhd8ed1ab_1  anaconda/cloud/conda-forge
evotorch                       0.3.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
